Creator Name,Platform,Handle/Username,Profile URL,Follower Count,Email/Contact,Last Active,Engagement Notes,Content Focus,Why Good Fit for SwarmSync
Tucker Ferwerda,Instagram,@tuckerferwerda,https://instagram.com/tuckerferwerda,8000,Check bio,2025,High engagement with students,Helping students make money online,Audience interested in automation/income
Decision Leader,Instagram,@decisionleader,https://instagram.com/decisionleader,8800,Check bio,2025,Tech-focused audience,AI-First CEO - ex-Google Chief Decision Scientist,Direct AI/decision-making audience
Edu Metaverse,Instagram,@edu_metaverse,https://instagram.com/edu_metaverse,2000,Check bio,2025,EdTech focused,AI Innovation and EdTech,AI-forward educators
Labnol,Instagram,@labnol,https://instagram.com/labnol,6400,Check bio,2025,Google Dev Expert authority,Google Dev Expert - tech content,Developer audience familiar with APIs
Rorys AI,Instagram,@rorys_ai,https://instagram.com/rorys_ai,4000,Check bio,2025,Very high engagement,AI content and tutorials,Direct AI audience
Bob Gourley,Twitter/X,@bobgourley,https://twitter.com/bobgourley,7300,Check bio,2025,CTO audience,CTO researching AI,Decision-makers with budgets
Hanuna Ma Data,Twitter/X,@hanuna_ma_data,https://twitter.com/hanuna_ma_data,4300,Check bio,2025,Cloud/Big Data engineers,Cloud and Big Data engineer,Technical audience needing automation
Duncan Ross,Twitter/X,@duncan3ross,https://twitter.com/duncan3ross,3400,Check bio,2025,Data leadership,Chief Data Officer,C-level data decision makers
Emily Hawkins,Twitter/X,@emilyhawkins__,https://twitter.com/emilyhawkins__,3300,Check bio,2025,dbt community,dbt educator,Data tool power users
Sundas Khalid,Twitter/X,@sundaskhalid6,https://twitter.com/sundaskhalid6,3700,Check bio,2025,FAANG background,FAANG data scientist,High-value tech audience
Jennifer Ebe,Twitter/X,@jennifer_ebe,https://twitter.com/jennifer_ebe,3800,Check bio,2025,Data engineering focus,Data engineer,Technical users needing workflows
Ngoc Thach AI,TikTok,@ngocthach.ai,https://tiktok.com/@ngocthach.ai,3900,Check bio,2025,Data science tutorials,Data science and AI,AI education audience
K4uffman,TikTok,@k4uffman,https://tiktok.com/@k4uffman,2800,Check bio,2025,Automation focus,Automation content,Direct automation audience
Hieu NLP,TikTok,@hieu.nlp,https://tiktok.com/@hieu.nlp,2700,Check bio,2025,NLP specialist,NLP and AI,Technical AI audience
Kantrowitz,TikTok,@kantrowitz,https://tiktok.com/@kantrowitz,2600,Check bio,2025,AI/tech content,AI and tech content,Tech-forward audience
Modern CTO,YouTube,Modern CTO,https://youtube.com/@moderncto,8200,Check About page,2025,CTO-level content,CTO-level AI and development,Decision-makers and technical leaders
Kore.ai,YouTube,Kore.ai,https://youtube.com/@koreai,2900,Check About page,2025,Enterprise AI,Enterprise AI automation,Enterprise audience with budgets
goose OSS,YouTube,@gooseoss,https://www.youtube.com/@gooseoss,6360,Check About page,Jan 2026,"Recent upload ~11 days ago; ~2.9K views; 351 videos",Open-source autonomous agent workflows; practical demos of agents/skills,Agents/orchestration focus maps directly to SwarmSync marketplace
Dr. Maryam Miradi,YouTube,@maryammiradi,https://www.youtube.com/@maryammiradi,9150,Check About page,Jan 2026,"Recent upload ~6 days ago; ~2.7K views; framework-heavy content","Multi-agent education (MCP, LangGraph, CrewAI, OpenAI Swarm)",Strong multi-agent/orchestration audience - perfect for agent marketplace
CopilotKit,YouTube,@CopilotKit,https://www.youtube.com/@CopilotKit,3480,Check About page,Jan 2026,"Recent upload ~5 days ago; ~1.1K views; 72 videos",Agentic app building + tooling; practical deep-dive content,Builders adopting orchestration platforms need agent discovery
Yaron Been,YouTube,@YaronBeen,https://www.youtube.com/@YaronBeen,9930,Check About page,Jan 2026,"Recent upload ~2 weeks ago; ~2K views","Agentic coding + MCP workflows, developer tutorials",Developer-facing audience building with agents
AI Agent Guy,YouTube,@TheAIAgentGuy,https://www.youtube.com/@TheAIAgentGuy,7200,Check About page,Jan 2026,"Recent upload ~6 days ago; ~2.3K views",No-code agent builds (n8n); automations,Strong overlap with 'agents that do work' positioning
MCPDevSummit,YouTube,@MCPDevSummit,https://www.youtube.com/@MCPDevSummit,7570,Check About page,Jan 2026,"Recent uploads; niche purity very high",MCP-focused content and ecosystem discussions,Protocol/interoperability crowd needs agent marketplace layer
The Agent Frontier,YouTube,@KentWeare,https://www.youtube.com/@KentWeare,5310,Check About page,Jan 2026,"Workshop ~7-11 days ago; ~241 views; technical audience",Enterprise orchestration patterns + MCP server usage,B2B credibility - enterprise agents need to discover each other
Kiro,YouTube,@kirodotdev,https://www.youtube.com/@kirodotdev,6890,Check About page,Jan 2026,"Recent content ~1 month; ~1.8K views",Agentic engineering platform demos; MCP + agent workflows,Builders shipping agent systems need marketplace infrastructure
SW Automation,YouTube,@SWAutomation,https://www.youtube.com/@SWAutomation,4790,Check About page,Jan 2026,"Recent upload ~3 weeks ago; ~1K views; 70 videos","n8n agent automations (Telegram, workflows)",Practical workflows map to orchestration + agent collaboration
Mike Futia,YouTube,@mike-futia,https://www.youtube.com/@mike-futia,3190,Check About page,Jan 2026,"Very recent upload ~2 days ago; active posting",AI systems + automation (n8n tutorials),Perfect to pitch SwarmSync as agent marketplace layer above flows
Kilo-Code,YouTube,@Kilo-Code,https://www.youtube.com/@Kilo-Code,9880,Check About page,Jan 2026,"Recent stream ~2 days ago; ~256 views; niche alignment",Agentic engineering tooling streams and demos,Highly aligned with agentic developer audiences
AkramK,YouTube,@AkramK,https://www.youtube.com/@AkramK,4830,Check About page,Jan 2026,"Recent upload ~6 days ago; ~300 views",Beginner-friendly agent build tutorials (Google ADK),On-ramp audience learning orchestration concepts
