"Status","Category","Test","URL"
"PASS","Routes","Homepage","https://swarmsync.ai/"
"PASS","Routes","Agents marketplace","https://swarmsync.ai/agents"
"PASS","Routes","Pricing page","https://swarmsync.ai/pricing"
"PASS","Routes","Platform page","https://swarmsync.ai/platform"
"PASS","Routes","Use cases page","https://swarmsync.ai/use-cases"
"PASS","Routes","Security page","https://swarmsync.ai/security"
"PASS","Routes","Resources page","https://swarmsync.ai/resources"
"PASS","Routes","FAQ page","https://swarmsync.ai/faq"
"PASS","Routes","Privacy policy","https://swarmsync.ai/privacy"
"PASS","Routes","Terms of service","https://swarmsync.ai/terms"
"PASS","Routes","Login page","https://swarmsync.ai/login"
"PASS","Routes","Registration page","https://swarmsync.ai/register"
"PASS","Routes","Agent orchestration guide","https://swarmsync.ai/agent-orchestration-guide"
"PASS","Routes","Build vs Buy page","https://swarmsync.ai/vs/build-your-own"
"PASS","Routes","Health check","https://swarmsync-api.up.railway.app/health"
"PASS","Routes","Agents API","https://swarmsync-api.up.railway.app/agents"
"PASS","Routes","Billing plans API","https://swarmsync-api.up.railway.app/billing/plans"
"PASS","Routes","Sitemap.xml","https://swarmsync.ai/sitemap.xml"
"PASS","Routes","Robots.txt","https://swarmsync.ai/robots.txt"
"PASS","Routes","Favicon","https://swarmsync.ai/favicon.ico"
